busdate,yy,mm,dd,dong_id,guest_cnt,ww,hh,g_cnt,wd
2022-03-18,2022,3,18,1123068,4147,4,0,3,0
2022-03-18,2022,3,18,1123066,11848,4,0,61,0
2022-03-18,2022,3,18,1123064,39314,4,0,495,0
2022-03-18,2022,3,18,1123063,11769,4,0,104,0
2022-03-18,2022,3,18,1123060,12210,4,0,132,0
2022-03-18,2022,3,18,1123058,20667,4,0,119,0
2022-03-18,2022,3,18,1123052,18601,4,0,218,0
2022-03-18,2022,3,18,1123067,7379,4,0,32,0
2022-03-18,2022,3,18,1123059,12029,4,0,73,0
2022-03-18,2022,3,18,1123079,17097,4,0,151,0
2022-03-18,2022,3,18,1123078,19253,4,0,133,0
2022-03-18,2022,3,18,1123077,21865,4,0,215,0
2022-03-18,2022,3,18,1123075,13652,4,0,57,0
2022-03-18,2022,3,18,1123074,3272,4,0,10,0
2022-03-18,2022,3,18,1123073,3484,4,0,4,0
2022-03-18,2022,3,18,1123072,7622,4,0,19,0
2022-03-19,2022,3,19,1123053,6958,5,0,21,1
2022-03-19,2022,3,19,1123080,3438,5,0,14,1
2022-03-19,2022,3,19,1123071,3464,5,0,2,1
2022-03-19,2022,3,19,1123065,8640,5,0,49,1
2022-03-19,2022,3,19,1123051,9296,5,0,44,1
2022-03-19,2022,3,19,1123076,8874,5,0,24,1
2022-03-19,2022,3,19,1123068,2202,5,0,1,1
2022-03-19,2022,3,19,1123066,6342,5,0,34,1
2022-03-19,2022,3,19,1123064,23954,5,0,291,1
2022-03-19,2022,3,19,1123063,8192,5,0,55,1
2022-03-19,2022,3,19,1123060,9705,5,0,61,1
2022-03-19,2022,3,19,1123058,11738,5,0,146,1
2022-03-19,2022,3,19,1123052,11293,5,0,175,1
2022-03-19,2022,3,19,1123067,4160,5,0,18,1
2022-03-19,2022,3,19,1123059,5633,5,0,43,1
2022-03-19,2022,3,19,1123079,10419,5,0,102,1
2022-03-19,2022,3,19,1123078,12334,5,0,93,1
2022-03-19,2022,3,19,1123077,16416,5,0,159,1
2022-03-19,2022,3,19,1123075,7655,5,0,55,1
2022-03-19,2022,3,19,1123074,1916,5,0,3,1
2022-03-19,2022,3,19,1123073,2132,5,0,0,1
