busdate,yy,mm,dd,dong_id,guest_cnt,ww,hh,g_cnt,wd,동
2022-03-23,2022,3,23,1102073,1195,2,0,10,0,동화동
2022-03-23,2022,3,23,1102068,4270,2,0,19,0,중림동
2022-03-23,2022,3,23,1102054,25493,2,0,262,0,회현동
2022-03-23,2022,3,23,1102059,10944,2,0,167,0,광희동
2022-03-23,2022,3,23,1102052,26425,2,0,130,0,소공동
2022-03-23,2022,3,23,1102058,2941,2,0,7,0,장충동
2022-03-23,2022,3,23,1102057,3170,2,0,16,0,필동
2022-03-23,2022,3,23,1102072,2371,2,0,26,0,청구동
2022-03-23,2022,3,23,1102071,3557,2,0,19,0,약수동
2022-03-23,2022,3,23,1102070,3354,2,0,6,0,다산동
2022-03-23,2022,3,23,1102069,3995,2,0,39,0,신당동
2022-03-23,2022,3,23,1102067,3354,2,0,13,0,황학동
2022-03-23,2022,3,23,1102065,5425,2,0,27,0,신당5동
2022-03-23,2022,3,23,1102060,3633,2,0,35,0,을지로동
2022-03-23,2022,3,23,1102055,19123,2,0,127,0,명동
2022-03-24,2022,3,24,1102073,1149,3,0,24,0,동화동
2022-03-24,2022,3,24,1102068,4374,3,0,16,0,중림동
2022-03-24,2022,3,24,1102054,26438,3,0,305,0,회현동
2022-03-24,2022,3,24,1102059,11813,3,0,181,0,광희동
2022-03-24,2022,3,24,1102052,27541,3,0,149,0,소공동
2022-03-24,2022,3,24,1102058,2962,3,0,10,0,장충동
2022-03-24,2022,3,24,1102057,3561,3,0,19,0,필동
2022-03-24,2022,3,24,1102072,2334,3,0,25,0,청구동
2022-03-24,2022,3,24,1102071,3739,3,0,17,0,약수동
2022-03-24,2022,3,24,1102070,3647,3,0,14,0,다산동
2022-03-24,2022,3,24,1102069,4090,3,0,39,0,신당동
2022-03-24,2022,3,24,1102067,3415,3,0,21,0,황학동
2022-03-24,2022,3,24,1102065,5628,3,0,33,0,신당5동
2022-03-24,2022,3,24,1102060,4100,3,0,65,0,을지로동
2022-03-24,2022,3,24,1102055,20472,3,0,157,0,명동
2022-03-25,2022,3,25,1102073,1216,4,0,29,0,동화동
2022-03-25,2022,3,25,1102068,4572,4,0,41,0,중림동
2022-03-25,2022,3,25,1102054,27990,4,0,404,0,회현동
2022-03-25,2022,3,25,1102059,12019,4,0,299,0,광희동
2022-03-25,2022,3,25,1102052,27590,4,0,185,0,소공동
2022-03-25,2022,3,25,1102058,2993,4,0,13,0,장충동
2022-03-25,2022,3,25,1102057,3537,4,0,37,0,필동
2022-03-25,2022,3,25,1102072,2512,4,0,35,0,청구동
2022-03-25,2022,3,25,1102071,3952,4,0,33,0,약수동
2022-03-25,2022,3,25,1102070,3739,4,0,35,0,다산동
2022-03-25,2022,3,25,1102069,4184,4,0,54,0,신당동
2022-03-25,2022,3,25,1102067,3601,4,0,32,0,황학동
2022-03-25,2022,3,25,1102065,5841,4,0,37,0,신당5동
2022-03-25,2022,3,25,1102060,4048,4,0,75,0,을지로동
2022-03-25,2022,3,25,1102055,19990,4,0,199,0,명동
2022-03-26,2022,3,26,1102073,807,5,0,11,1,동화동
2022-03-26,2022,3,26,1102068,2890,5,0,20,1,중림동
2022-03-26,2022,3,26,1102054,19483,5,0,275,1,회현동
2022-03-26,2022,3,26,1102059,8620,5,0,139,1,광희동
2022-03-26,2022,3,26,1102052,16860,5,0,109,1,소공동
2022-03-26,2022,3,26,1102058,2810,5,0,16,1,장충동
2022-03-26,2022,3,26,1102057,2169,5,0,17,1,필동
2022-03-26,2022,3,26,1102072,1653,5,0,16,1,청구동
2022-03-26,2022,3,26,1102071,2385,5,0,20,1,약수동
2022-03-26,2022,3,26,1102070,2353,5,0,12,1,다산동
2022-03-26,2022,3,26,1102069,2313,5,0,27,1,신당동
2022-03-26,2022,3,26,1102067,2586,5,0,16,1,황학동
2022-03-26,2022,3,26,1102065,4051,5,0,35,1,신당5동
2022-03-26,2022,3,26,1102060,2727,5,0,54,1,을지로동
2022-03-26,2022,3,26,1102055,12048,5,0,160,1,명동
2022-03-27,2022,3,27,1102073,642,6,0,5,1,동화동
2022-03-27,2022,3,27,1102068,2201,6,0,7,1,중림동
2022-03-27,2022,3,27,1102059,7016,6,0,98,1,광희동
2022-03-27,2022,3,27,1102054,15840,6,0,216,1,회현동
2022-03-27,2022,3,27,1102052,13350,6,0,66,1,소공동
2022-03-27,2022,3,27,1102058,3079,6,0,4,1,장충동
2022-03-27,2022,3,27,1102057,2006,6,0,6,1,필동
2022-03-27,2022,3,27,1102072,1314,6,0,11,1,청구동
2022-03-27,2022,3,27,1102071,1937,6,0,10,1,약수동
2022-03-27,2022,3,27,1102070,1755,6,0,5,1,다산동
2022-03-27,2022,3,27,1102069,1705,6,0,21,1,신당동
